ID,Name,PSM,NearestRoad,LandAppraisal,TrainStation,University,Airport,Departmentstore,Hospital,Subdistrict,District,GroupDistrict,TotalUnits,BuiltYear,BuildingAge,CarPark,CCTV,Fitness,Library,Swimmingpool,Security,MiniMart,ElectricalSubStation
816,The Next Garden Mix,91653.00,Pridi Banomyong Road,240000,3.29,0.89,16.34,4.5,4.32,Phra Khanong Tai,Phra Khanong,South Bangkok,138,2011,13,0,1,1,0,1,1,0,0
817,@City Condominium,51547.67,Sukhumvit Road,490000,2.51,2.57,15.11,2.06,3.19,Bang Chak,Phra Khanong,South Bangkok,799,2009,15,1,1,1,0,0,1,0,0
818,Chateau in Town Sukhumvit 64,107143.00,Udom Suk Road (Sukhumvit 103),185000,4.74,3.52,15.69,1.91,3.23,Bang Chak,Phra Khanong,South Bangkok,79,2015,9,0,0,1,0,1,0,0,0
819,Chateau In Town Sukhumvit 64/1,67647.00,Udom Suk Road (Sukhumvit 103),185000,0.36,2.9,15.28,2.49,3.86,Bang Chak,Phra Khanong,South Bangkok,222,2019,5,0,1,0,0,1,1,0,0
820,Plum Condo Sukhumvit 97.1,90741.00,Udom Suk Road (Sukhumvit 103),185000,4.48,2.16,15.12,1.4,3,Bang Chak,Phra Khanong,South Bangkok,425,2021,3,0,1,1,0,0,1,0,0
821,IDEO MOBI Sukhumvit 81,133585.20,Pridi Banomyong Road,240000,3.35,1.08,16.1,4.58,4.33,Bang Chak,Phra Khanong,South Bangkok,940,2013,11,1,1,1,1,1,1,1,0
822,Ramada Residence (Siamese) Sukhumvit 87,111026.00,Pridi Banomyong Road,240000,3.68,1.31,15.93,4.9,2.18,Bang Chak,Phra Khanong,South Bangkok,372,2021,3,1,1,0,0,0,1,0,0
823,The Room Sulkumvit 62,125899.43,Udom Suk Road (Sukhumvit 103),185000,4.97,3.34,15.33,2.04,3.46,Phra Khanong Tai,Phra Khanong,South Bangkok,487,2011,13,1,1,1,0,1,1,0,0
824,IDEO Sukhumvit 93,132318.90,Pridi Banomyong Road,240000,4.04,1.62,15.74,1.05,2.53,Bang Chak,Phra Khanong,South Bangkok,1332,2018,6,0,1,1,0,1,1,0,0
825,IDEO Mobi Sukhumvit 66,152586.25,Udom Suk Road (Sukhumvit 103),185000,0.19,2.43,15.19,2.98,4.32,Bang Na Nuea,Bang Na,South Bangkok,298,2017,7,1,1,1,1,0,0,0,0
826,The Line Sukhumvit 101,149608.50,Udom Suk Road (Sukhumvit 103),185000,4.81,3.53,15.35,1.85,3.3,Bang Chak,Phra Khanong,South Bangkok,778,2020,4,1,1,1,1,0,0,0,0
827,Quinn Sukhumvit 101,176344.75,Udom Suk Road (Sukhumvit 103),185000,0.1,3.29,15.26,2.09,3.52,Bang Chak,Phra Khanong,South Bangkok,349,2020,4,0,1,1,0,0,0,0,0
828,The Light New York,75862.00,Udom Suk Road (Sukhumvit 103),185000,4.71,3.55,15.79,1.92,3.2,Phra Khanong Tai,Phra Khanong,South Bangkok,168,2015,9,1,1,1,0,1,1,0,0
829,Sari by Sansiri,85769.75,Udom Suk Road (Sukhumvit 103),185000,0.33,3.15,15.51,2.27,3.6,Bang Chak,Phra Khanong,South Bangkok,192,2013,11,1,1,1,0,1,1,0,0
830,The Nest Sukhumvit 64,119149.00,Udom Suk Road (Sukhumvit 103),185000,0.65,2.95,15.68,2.58,3.81,Phra Khanong Tai,Phra Khanong,South Bangkok,439,2019,5,0,1,1,0,1,1,0,0
831,Regent Home 13,52812.00,Udom Suk Road (Sukhumvit 103),185000,4.42,2.21,14.99,1.37,2.97,Bang Chak,Phra Khanong,South Bangkok,270,2012,12,1,1,1,0,1,1,0,0
832,Whizdom Essence,172838.64,Udom Suk Road (Sukhumvit 103),185000,0.52,2.73,14.92,2.65,4.1,Bang Chak,Phra Khanong,South Bangkok,664,2019,5,0,1,1,1,0,0,0,0
833,The Tree Onnut Station,110536.50,Pridi Banomyong Road,240000,3.43,1.01,16.26,4.64,4.47,Phra Khanong Tai,Phra Khanong,South Bangkok,166,2017,7,0,1,1,0,1,1,0,0
